inn,setid,title,published,route,lyophilized,presentation_index,source_text,fill_volume_ml,protein_conc_mg_ml,lysine_mm,surfactant,surfactant_pct_wv,trehalose_mm,trehalose_pct_wv,n_ingredients_parsed,buffer_species,buffer_conc_mm,ph,ph_is_range,ph_from_composition,nacl_mm,label_mw_kda,glycine_mm,mannitol_mm,mannitol_pct_wv,sucrose_mm,sucrose_pct_wv,methionine_mm,sorbitol_mm,sorbitol_pct_wv,arginine_mm,proline_mm,usable
amivantamab,9e58b045-e352-4f62-99bf-77fae1bebc69,"RYBREVANT FASPRO (AMIVANTAMAB AND HYALURONIDASE-LPUJ (HUMAN RECOMBINANT)) INJECTION [JANSSEN BIOTECH, INC.]","Jun 23, 2026",subcutaneous,False,0.0,"Each RYBREVANT FASPRO 10 mL single-dose vial contains 1,600 mg of amivantamab and 20,000 units of hyaluronidase (human recombinant), edetate disodium (0.18 mg), glacial acetic acid (1.9 mg), methionine (10 mg), polysorbate 80 (6 mg), sodium acetate (22.1 mg), sucrose (710 mg), and Water for Injection, USP.",,,,,,,,0.0,,,2.0,False,False,,148.0,,,,,,,,,,,False
amivantamab,9e58b045-e352-4f62-99bf-77fae1bebc69,"RYBREVANT FASPRO (AMIVANTAMAB AND HYALURONIDASE-LPUJ (HUMAN RECOMBINANT)) INJECTION [JANSSEN BIOTECH, INC.]","Jun 23, 2026",subcutaneous,False,1.0,"Each RYBREVANT FASPRO 14 mL single-dose vial contains 2,240 mg of amivantamab and 28,000 units of hyaluronidase (human recombinant), edetate disodium (0.25 mg), glacial acetic acid (2.6 mg), methionine (14 mg), polysorbate 80 (8.4 mg), sodium acetate (30.9 mg), sucrose (994 mg), and Water for Injection, USP.",,,,,,,,0.0,,,2.0,False,False,,148.0,,,,,,,,,,,False
amivantamab,9e58b045-e352-4f62-99bf-77fae1bebc69,"RYBREVANT FASPRO (AMIVANTAMAB AND HYALURONIDASE-LPUJ (HUMAN RECOMBINANT)) INJECTION [JANSSEN BIOTECH, INC.]","Jun 23, 2026",subcutaneous,False,2.0,"Each RYBREVANT FASPRO 15 mL single-dose vial contains 2,400 mg of amivantamab and 30,000 units of hyaluronidase (human recombinant), edetate disodium (0.27 mg), glacial acetic acid (2.8 mg), methionine (15 mg), polysorbate 80 (9 mg), sodium acetate (33.1 mg), sucrose (1,065 mg), and Water for Injection, USP.",,,,,,,,0.0,,,2.0,False,False,,148.0,,,,,,,,,,,False
amivantamab,9e58b045-e352-4f62-99bf-77fae1bebc69,"RYBREVANT FASPRO (AMIVANTAMAB AND HYALURONIDASE-LPUJ (HUMAN RECOMBINANT)) INJECTION [JANSSEN BIOTECH, INC.]","Jun 23, 2026",subcutaneous,False,3.0,"Each RYBREVANT FASPRO 22 mL single-dose vial contains 3,520 mg of amivantamab and 44,000 units of hyaluronidase (human recombinant), edetate disodium (0.4 mg), glacial acetic acid (4.1 mg), methionine (22 mg), polysorbate 80 (13.2 mg), sodium acetate (48.6 mg), sucrose (1,562 mg), and Water for Injection, USP.",,,,,,,,0.0,,,2.0,False,False,,148.0,,,,,,,,,,,False
avelumab,5cd725a1-2fa4-408a-a651-57a7b84b2118,"BAVENCIO (AVELUMAB) INJECTION, SOLUTION, CONCENTRATE [EMD SERONO, INC.]","Aug 27, 2026",intravenous,False,0.0,"Each mL contains 20 mg avelumab, D-mannitol (51 mg), glacial acetic acid (0.6 mg), polysorbate 20 (0.5 mg), sodium hydroxide (0.3 mg), and Water for Injection.",,,,,,,,0.0,,,,,,,147.0,,,,,,,,,,,False
basiliximab,1af01887-b69d-444b-91ed-ebfe12784440,"SIMULECT (BASILIXIMAB) INJECTION, POWDER, FOR SOLUTION [NOVARTIS PHARMACEUTICALS CORPORATION]","Dec 15, 2025",intravenous,True,0.0,"Each 10-mg vial contains 10 mg of basiliximab, and dibasic sodium phosphate (anhydrous) (0.50 mg), glycine (20.3 mg), mannitol (40.6 mg), monobasic potassium phosphate (3.66 mg), sodium chloride (0.82 mg), and sucrose (10.1 mg) to be reconstituted in 2.5 mL of Sterile Water for Injection, USP.",2.5,,,,,,,5.0,,,,,,5.61,,108.17,89.15,1.624,11.8,0.404,,,,,,False
basiliximab,1af01887-b69d-444b-91ed-ebfe12784440,"SIMULECT (BASILIXIMAB) INJECTION, POWDER, FOR SOLUTION [NOVARTIS PHARMACEUTICALS CORPORATION]","Dec 15, 2025",intravenous,True,1.0,"Each 20-mg vial contains 20 mg of basiliximab, and dibasic sodium phosphate (anhydrous) (0.99 mg), glycine (40.1 mg), mannitol (80.1 mg), monobasic potassium phosphate (7.22 mg), sodium chloride (1.61 mg), and sucrose (20 mg) to be reconstituted in 5 mL of Sterile Water for Injection, USP.",5.0,,,,,,,5.0,,,,,,5.51,,106.83,87.94,1.602,11.69,0.4,,,,,,False
bedinvetmab,61c7b4e0-aab6-4cf5-8471-f94be438c758,"LIBRELA (BEDINVETMAB INJECTION) INJECTION, SOLUTION [ZOETIS INC.]","Feb 24, 2025",,False,0.0,"DESCRIPTION LIBRELA (bedinvetmab injection) is a sterile injectable solution containing 5, 10, 15, 20, or 30 mg/mL of bedinvetmab in 20 mM histidine buffer pH 5.0 [(0.027% w/v L- histidine and 0.382% w/v histidine HCl monohydrate), 8.5% w/v trehalose dihydrate, 0.005% w/v disodium EDTA dihydrate, 0.01% w/v L-methionine, and 0.1% w/v poloxamer 188].",,30.0,,,,,,0.0,,,5.0,False,True,,,,,,,,,,,,,False
belantamab,aef7c34c-fef8-407c-99c0-a68aded53c60,"BLENREP (BELANTAMAB MAFODOTIN) INJECTION, POWDER, FOR SOLUTION [GLAXOSMITHKLINE LLC]","Nov 17, 2025",intravenous,True,0.0,"Each mL of reconstituted solution contains belantamab mafodotin‑blmf (50 mg) and the inactive ingredients, citric acid monohydrate (0.46 mg), edetate disodium (0.017 mg), polysorbate 80 (0.2 mg), sodium citrate (5.88 mg), and trehalose (68.4 mg).",,,,,,,,0.0,,,,,,,,,,,,,,,,,,False
belimumab,2fa3c528-1777-4628-8a55-a69dae2381a3,"BENLYSTA (BELIMUMAB) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION BENLYSTA (BELIMUMAB) SOLUTION [GLAXOSMITHKLINE LLC]","Sep 02, 2026",subcutaneous,True,0.0,"Each mL delivers 80 mg belimumab, citric acid (0.16 mg), polysorbate 80 (0.4 mg), sodium citrate (2.7 mg), and sucrose (80 mg), with a pH of 6.5.",,,,,,,,0.0,,,6.5,False,True,,147.0,,,,,,,,,,,False
belimumab,2fa3c528-1777-4628-8a55-a69dae2381a3,"BENLYSTA (BELIMUMAB) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION BENLYSTA (BELIMUMAB) SOLUTION [GLAXOSMITHKLINE LLC]","Sep 02, 2026",subcutaneous,True,1.0,"Each 1 mL delivers 200 mg belimumab, L-arginine hydrochloride (5.3 mg), L-histidine (0.65 mg), L-histidine monohydrochloride (1.2 mg), polysorbate 80 (0.1 mg), and sodium chloride (6.7 mg), with a pH of 6.0.",1.0,,,polysorbate 80,0.01,,,4.0,histidine,11.92,6.0,False,True,114.65,147.0,,,,,,,,,,,True
atezolizumab,6fa682c9-a312-4932-9831-f286908660ee,"TECENTRIQ (ATEZOLIZUMAB) INJECTION, SOLUTION [GENENTECH, INC.]","May 28, 2026",intravenous,False,0.0,"Each 20 mL vial contains 1200 mg of atezolizumab and is formulated in glacial acetic acid (16.5 mg), L-histidine (62 mg), polysorbate 20 (8 mg), and sucrose (821.6 mg), with a pH of 5.8.",20.0,,,polysorbate 20,0.04,,,3.0,histidine,19.98,5.8,False,True,,,,,,120.01,4.108,,,,,,True
atezolizumab,6fa682c9-a312-4932-9831-f286908660ee,"TECENTRIQ (ATEZOLIZUMAB) INJECTION, SOLUTION [GENENTECH, INC.]","May 28, 2026",intravenous,False,1.0,"Each 14 mL vial contains 840 mg of atezolizumab and is formulated in glacial acetic acid (11.5 mg), L-histidine (43.4 mg), polysorbate 20 (5.6 mg), and sucrose (575.1 mg) with a pH of 5.8.",14.0,,,polysorbate 20,0.04,,,3.0,histidine,19.98,5.8,False,True,,,,,,120.01,4.1079,,,,,,True
atezolizumab,a617b089-ce66-464b-987b-b45d029b4d6f,"TECENTRIQ HYBREZA (ATEZOLIZUMAB AND HYALURONIDASE-TQJS) INJECTION [GENENTECH, INC.]","May 28, 2026",subcutaneous,False,0.0,"Each 15 mL single-dose vial contains 1,875 mg of atezolizumab, 30,000 units of hyaluronidase, histidine (46.5 mg), methionine (22.4 mg), polysorbate 20 (9 mg), sucrose (1,232 mg), and water for injection, adjusted to pH 5.8 with acetic acid.",15.0,,,polysorbate 20,0.06,,,2.0,,,5.8,False,True,,61.0,,,,,,10.01,,,,,False
benralizumab,da6aca1a-19ed-44a4-abb7-696c7d58b784,"FASENRA (BENRALIZUMAB) INJECTION, SOLUTION [ASTRAZENECA PHARMACEUTICALS LP]","May 28, 2026",subcutaneous,False,0.0,"Each 10 mg single-dose prefilled syringe delivers 0.5 mL containing 10 mg benralizumab, L-histidine (0.7 mg); L-histidine hydrochloride monohydrate (1.2 mg); polysorbate 20 (0.03 mg); α,α‑trehalose dihydrate (47 mg); and Water for Injection, USP, at pH of 5.5 – 6.5.",0.5,,,polysorbate 20,0.006,248.46,9.4,3.0,histidine,11.45,6.0,True,True,,150.0,,,,,,,,,,,True
benralizumab,da6aca1a-19ed-44a4-abb7-696c7d58b784,"FASENRA (BENRALIZUMAB) INJECTION, SOLUTION [ASTRAZENECA PHARMACEUTICALS LP]","May 28, 2026",subcutaneous,False,1.0,"Each 30 mg single-dose prefilled syringe or single-dose autoinjector delivers 1 mL containing 30 mg benralizumab, L-histidine (1.4 mg); L-histidine hydrochloride monohydrate (2.3 mg); polysorbate 20 (0.06 mg); α,α‑trehalose dihydrate (95 mg); and Water for Injection, USP, at pH of 5.5 – 6.5.",1.0,,,polysorbate 20,0.006,251.1,9.5,3.0,histidine,10.97,6.0,True,True,,150.0,,,,,,,,,,,True
bezlotoxumab,8f479bfe-2bfa-4cc5-9aee-1357364480b0,"ZINPLAVA (BEZLOTOXUMAB) INJECTION, SOLUTION [MERCK SHARP & DOHME LLC]","Nov 17, 2025",intravenous,False,0.0,"Each mL of solution contains bezlotoxumab (25 mg), citric acid monohydrate (0.8 mg), diethylenetriaminepentaacetic acid (0.0078 mg), polysorbate 80 (0.25 mg), sodium chloride (8.77 mg), sodium citrate dihydrate (4.75 mg), and Water for Injection, USP.",,,,,,,,0.0,,,,,,,148.2,,,,,,,,,,,False
adalimumab,1ac7d061-3380-468c-b077-c05f8dfbc829,"HYRIMOZ (ADALIMUMAB-ADAZ) INJECTION, SOLUTION HYRIMOZ (ADALIMUMAB-ADAZ) KIT [SANDOZ INC]","Aug 19, 2026",subcutaneous,False,0.0,"Each 0.8 mL of HYRIMOZ contains adalimumab-adaz (80 mg), adipic acid (1.75 mg), mannitol (33.6 mg), polysorbate 80 (0.32 mg), and Water for Injection, USP.",0.8,,,polysorbate 80,0.04,,,3.0,,,5.2,False,False,,148.0,,230.55,4.2,,,,,,,,False
adalimumab,1ac7d061-3380-468c-b077-c05f8dfbc829,"HYRIMOZ (ADALIMUMAB-ADAZ) INJECTION, SOLUTION HYRIMOZ (ADALIMUMAB-ADAZ) KIT [SANDOZ INC]","Aug 19, 2026",subcutaneous,False,1.0,"Each 0.4 mL of HYRIMOZ contains adalimumab-adaz (40 mg), adipic acid (0.88 mg), mannitol (16.8 mg), polysorbate 80 (0.16 mg) and Water for Injection, USP.",0.4,,,polysorbate 80,0.04,,,3.0,,,5.2,False,False,,148.0,,230.55,4.2,,,,,,,,False
adalimumab,1ac7d061-3380-468c-b077-c05f8dfbc829,"HYRIMOZ (ADALIMUMAB-ADAZ) INJECTION, SOLUTION HYRIMOZ (ADALIMUMAB-ADAZ) KIT [SANDOZ INC]","Aug 19, 2026",subcutaneous,False,2.0,"Each 0.8 mL of HYRIMOZ contains adalimumab-adaz (40 mg), adipic acid (2.69 mg), citric acid monohydrate (0.206 mg), mannitol (9.6 mg), polysorbate 80 (0.8 mg), sodium chloride (4.93 mg), and Water for Injection, USP.",0.8,,,polysorbate 80,0.1,,,5.0,citrate,1.23,5.2,False,False,105.45,148.0,,65.87,1.2,,,,,,,,True
adalimumab,1ac7d061-3380-468c-b077-c05f8dfbc829,"HYRIMOZ (ADALIMUMAB-ADAZ) INJECTION, SOLUTION HYRIMOZ (ADALIMUMAB-ADAZ) KIT [SANDOZ INC]","Aug 19, 2026",subcutaneous,False,3.0,"Each 0.4 mL of HYRIMOZ contains adalimumab-adaz (20 mg), adipic acid (1.34 mg), citric acid monohydrate (0.103 mg), mannitol (4.8 mg), polysorbate 80 (0.4 mg), sodium chloride (2.46 mg), and Water for Injection, USP.",0.4,,,polysorbate 80,0.1,,,5.0,citrate,1.23,5.2,False,False,105.24,148.0,,65.87,1.2,,,,,,,,True
adalimumab,1ac7d061-3380-468c-b077-c05f8dfbc829,"HYRIMOZ (ADALIMUMAB-ADAZ) INJECTION, SOLUTION HYRIMOZ (ADALIMUMAB-ADAZ) KIT [SANDOZ INC]","Aug 19, 2026",subcutaneous,False,4.0,"Each 0.2 mL of HYRIMOZ contains adalimumab-adaz (20 mg), adipic acid (0.44 mg), mannitol (8.4 mg), polysorbate 80 (0.08 mg) and Water for Injection, USP.",0.2,,,polysorbate 80,0.04,,,3.0,,,5.2,False,False,,148.0,,230.55,4.2,,,,,,,,False
adalimumab,1ac7d061-3380-468c-b077-c05f8dfbc829,"HYRIMOZ (ADALIMUMAB-ADAZ) INJECTION, SOLUTION HYRIMOZ (ADALIMUMAB-ADAZ) KIT [SANDOZ INC]","Aug 19, 2026",subcutaneous,False,5.0,"Each 0.1 mL of HYRIMOZ contains adalimumab-adaz (10 mg), adipic acid (0.22 mg), mannitol (4.2 mg), polysorbate 80 (0.04 mg) and Water for Injection, USP.",0.1,,,polysorbate 80,0.04,,,3.0,,,5.2,False,False,,148.0,,230.55,4.2,,,,,,,,False
adalimumab,1602cfaf-9ddd-4eb6-b847-10a4eebcf5e5,ABRILADA (ADALIMUMAB-AFZB) KIT [A-S MEDICATION SOLUTIONS],"Aug 17, 2026",subcutaneous,False,0.0,"Each 0.8 mL of ABRILADA contains adalimumab-afzb (40 mg), edetate disodium dihydrate (0.04 mg), L-histidine (0.63mg), L-histidine hydrochloride monohydrate (2.51 mg), L-methionine (0.16 mg), polysorbate 80 (0.16 mg), sucrose (68 mg), and Water for Injection, USP.",0.8,,,polysorbate 80,0.02,,,6.0,histidine,20.04,5.5,False,False,,148.0,,,,248.32,8.5,1.34,,,,,True
adalimumab,1602cfaf-9ddd-4eb6-b847-10a4eebcf5e5,ABRILADA (ADALIMUMAB-AFZB) KIT [A-S MEDICATION SOLUTIONS],"Aug 17, 2026",subcutaneous,False,1.0,"Each 0.4 mL of ABRILADA contains adalimumab-afzb (20 mg), edetate disodium dihydrate (0.02 mg), L-histidine (0.314 mg), L-histidine hydrochloride monohydrate (1.253 mg), L-methionine (0.08 mg), polysorbate 80 (0.08 mg), sucrose (34 mg), and Water for Injection, USP.",0.4,,,polysorbate 80,0.02,,,6.0,histidine,20.0,5.5,False,False,,148.0,,,,248.32,8.5,1.34,,,,,True
adalimumab,1602cfaf-9ddd-4eb6-b847-10a4eebcf5e5,ABRILADA (ADALIMUMAB-AFZB) KIT [A-S MEDICATION SOLUTIONS],"Aug 17, 2026",subcutaneous,False,2.0,"Each 0.2 mL of ABRILADA contains adalimumab-afzb (10 mg), edetate disodium dihydrate (0.01 mg), L-histidine (0.157 mg), L-histidine hydrochloride monohydrate (0.626 mg), L-methionine (0.04 mg), polysorbate 80 (0.04 mg), sucrose (17 mg), and Water for Injection, USP.",0.2,,,polysorbate 80,0.02,,,6.0,histidine,19.99,5.5,False,False,,148.0,,,,248.32,8.5,1.34,,,,,True
adalimumab,12f609c9-2088-bb05-e063-6394a90a9ecc,"SIMLANDI (ADALIMUMAB-RYVK) KIT [TEVA PHARMACEUTICALS USA, INC.]","Jul 22, 2026",subcutaneous,False,0.0,"Each 0.8 mL of SIMLANDI contains adalimumab-ryvk (80 mg), polysorbate 80 (0.80 mg), sodium chloride (0.47 mg), sucrose (69.83 mg), and Water for Injection, USP.",0.8,,,polysorbate 80,0.1,,,3.0,,,5.3,True,False,10.05,148.0,,,,255.0,8.7287,,,,,,False
adalimumab,12f609c9-2088-bb05-e063-6394a90a9ecc,"SIMLANDI (ADALIMUMAB-RYVK) KIT [TEVA PHARMACEUTICALS USA, INC.]","Jul 22, 2026",subcutaneous,False,1.0,"Each 0.4 mL of SIMLANDI contains adalimumab-ryvk (40 mg), polysorbate 80 (0.40 mg), sodium chloride (0.23 mg), sucrose (34.9 mg), and Water for Injection, USP.",0.4,,,polysorbate 80,0.1,,,3.0,,,5.3,True,False,9.84,148.0,,,,254.89,8.725,,,,,,False
adalimumab,12f609c9-2088-bb05-e063-6394a90a9ecc,"SIMLANDI (ADALIMUMAB-RYVK) KIT [TEVA PHARMACEUTICALS USA, INC.]","Jul 22, 2026",subcutaneous,False,2.0,"Each 0.2 mL of SIMLANDI contains adalimumab-ryvk (20 mg), polysorbate 80 (0.20 mg), sodium chloride (0.12 mg), sucrose (17.46 mg), and Water for Injection, USP.",0.2,,,polysorbate 80,0.1,,,3.0,,,5.3,True,False,10.27,148.0,,,,255.04,8.73,,,,,,False
adalimumab,5cde907d-6747-0e62-db25-1718ee717fe7,ADALIMUMAB (ADALIMUMAB-FKJP) KIT [BIOCON BIOLOGICS INC],"Jul 22, 2026",subcutaneous,False,0.0,"Each 0.8 mL of Adalimumab-fkjp contains adalimumab-fkjp (40 mg), methionine (0.60 mg), monosodium glutamate (1.50 mg), polysorbate 80 (0.80 mg), sorbitol (38.2 mg) and Water for Injection, USP.",0.8,,,polysorbate 80,0.1,,,4.0,glutamate,12.74,5.2,False,False,,148.0,,,,,,5.03,262.12,4.775,,,True
adalimumab,5cde907d-6747-0e62-db25-1718ee717fe7,ADALIMUMAB (ADALIMUMAB-FKJP) KIT [BIOCON BIOLOGICS INC],"Jul 22, 2026",subcutaneous,False,1.0,"Each 0.4 mL of Adalimumab-fkjp contains adalimumab-fkjp (20 mg), methionine (0.30 mg), monosodium glutamate (0.75 mg), polysorbate 80 (0.40 mg), sorbitol (19.1 mg) and Water for Injection, USP.",0.4,,,polysorbate 80,0.1,,,4.0,glutamate,12.74,5.2,False,False,,148.0,,,,,,5.03,262.12,4.775,,,True
brodalumab,1a550c33-456a-4833-814e-8591aea7c688,SILIQ (BRODALUMAB) INJECTION [BAUSCH HEALTH US LLC],"Jun 10, 2026",subcutaneous,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
blinatumomab,38b482a8-960b-4591-9857-5031ecb830aa,"BLINCYTO (BLINATUMOMAB) KIT [AMGEN, INC]","Apr 22, 2026",intravenous,True,0.0,"Each single-dose vial of BLINCYTO contains 35 mcg blinatumomab, citric acid monohydrate (3.35 mg), lysine hydrochloride (23.23 mg), polysorbate 80 (0.64 mg), trehalose dihydrate (95.5 mg), and sodium hydroxide to adjust pH to 7.0.",,,,,,,,0.0,,,,,,,54.0,,,,,,,,,,,False
bimekizumab,26b88358-871f-4c80-9d80-b2fb16477f81,"BIMZELX (BIMEKIZUMAB) INJECTION, SOLUTION [UCB, INC.]","Jun 18, 2025",subcutaneous,False,0.0,"Each BIMZELX 1 mL (160 mg/mL) prefilled syringe or prefilled autoinjector delivers 1 mL containing 160 mg bimekizumab-bkzx, glacial acetic acid (1.23 mg), glycine (16.5 mg), polysorbate 80 (0.4 mg), sodium acetate (2.83 mg), and Water for Injection, USP at pH 5.1.",1.0,160.0,,polysorbate 80,0.04,,,3.0,acetate,34.5,5.1,False,True,,150.0,219.79,,,,,,,,,,True
bimekizumab,26b88358-871f-4c80-9d80-b2fb16477f81,"BIMZELX (BIMEKIZUMAB) INJECTION, SOLUTION [UCB, INC.]","Jun 18, 2025",subcutaneous,False,1.0,"Each BIMZELX 2 mL (160 mg/mL) prefilled syringe or prefilled autoinjector delivers 2 mL containing 320 mg bimekizumab-bkzx, glacial acetic acid (2.46 mg), glycine (33.0 mg), polysorbate 80 (0.8 mg), sodium acetate (5.65 mg), and Water for Injection, USP at pH 5.1.",2.0,160.0,,polysorbate 80,0.04,,,3.0,acetate,34.44,5.1,False,True,,150.0,219.79,,,,,,,,,,True
brolucizumab,5d1dc1fa-a2d3-46ed-9e9a-c1a036590d3d,"BEOVU (BROLUCIZUMAB) INJECTION, SOLUTION [NOVARTIS PHARMACEUTICALS CORPORATION]","Nov 17, 2025",,False,0.0,"Each single-dose pre-filled syringe and vial is designed to deliver 0.05 mL of solution containing 6 mg brolucizumab-dbll, polysorbate 80 (0.02%), sodium citrate (10 mM), sucrose (5.8%), and Water for Injection, USP and with a pH of approximately 7.2.",0.05,,,,,,,2.0,citrate,10.0,7.2,False,True,,,,,,,5.8,,,,,,True
brentuximab,3904f8dd-1aef-3490-e48f-bd55f32ed67f,"ADCETRIS (BRENTUXIMAB VEDOTIN) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [SEAGEN INC.]","Nov 17, 2025",,True,0.0,"The reconstituted product contains 70 mg/mL trehalose dihydrate, 5.6 mg/mL sodium citrate dihydrate, 0.21 mg/mL citric acid monohydrate, and 0.20 mg/mL polysorbate 80 and water for injection.",,70.0,,,,,,0.0,,,,,,,153.0,,,,,,,,,,,False
